lemma,frequency,gloss_source,gloss,hdbscan_cluster,hdbscan_label,ward_12,ward_12_label,ward_25,ward_25_label,ward_50,ward_50_label,ward_100,ward_100_label,ward_150,ward_150_label,ward_200,ward_200_label,ward_250,ward_250_label
ἀστεροπητής,4,lsj,lightener,-1,(outlier),4,"burn, dark, wind, heat",7,"burn, dark, heat, wind",13,"dark, black, white, grey",29,"light, bright, radiant, shine",42,"heaven, cloud, air, sky",57,"heaven, cloud, air, sky",69,"thunder, lightning, flash, lighten hurl"
ἀντιφέρω,4,lsj,"set against; set oneself against, fight against; to oppose; match oneself with",81,"opposite, face, set, right",8,"gather, eat, set, ask",16,"gather, eat, ask, prize",31,"gather, meet, set, ready",63,"gather, meet, collect, people",92,"solitary, single, oneself, lonely",120,"single, solitary, oneself, lonely",149,"single, solitary, oneself, lonely"
ἐνδέξιος,4,lsj,"towards the right hand, from left to right; from left to right; propitious; on the right",250,"left, right, hand, bridle",2,"double, round, stretch, house",5,"round, double, stretch, curved",10,"double, right, hand, left",23,"right, hand, opposite, left",32,"right, hand, opposite, left",43,"hand, right, left, touch",52,"hand, right, left, touch"
ὀμφή,4,lsj,"voice; oracle; message; sweet, tuneful voice",229,"voice, human, speech, sound",10,"loud, sound, shout, lament",21,"loud, sound, shout, lament",42,"loud, sound, shout, voice",84,"voice, speech, song, hear",124,"voice, speech, hear, sound",162,"voice, speech, word, speak",203,"voice, speech, word, speak"
ποτάομαι,4,lsj,fly hither and thither; fly; to be upon the wing; hovers,140,"fly, flight, rout, wing",1,"draw, chariot, hair, swift",1,"swift, goat, wild, bird",1,"swift, goat, bird, wild",3,"bird, winged, fly, star",3,"bird, winged, fly, star",4,"bird, winged, fly, star",6,"bird, winged, fly, star"
πλήξιππος,4,lsj,striking; driving horses,23,"chariot, horses, driver, ride",1,"draw, chariot, hair, swift",1,"swift, goat, wild, bird",1,"swift, goat, bird, wild",1,"herd, goat, cattle, wild",1,"herd, goat, cattle, wild",2,"cattle, herd, goat, boar",2,"horses, ride, horse tail, mule"
ἐνδέω,4,lsj,"bind in, on; bound; fast; having packed",74,"bind, fasten, tie, fetter",6,"leap, away, come, send",10,"away, cut, shut, break",21,"shut, bind, hold, fasten",40,"shut, bind, ward, hold",59,"bind, fasten, tie, having",75,"bind, fasten, tie, having",91,"bind, fasten, tie, having"
ἐφέστιος,4,lsj,"at oneʼs own fireside, at home; their own homes; sitting by the fireside; inmate",246,"home, house, fireside, domestic affairs",2,"double, round, stretch, house",4,"house, stone, door, roof",7,"house, stone, door, wall",14,"house, roof, door, home",19,"house, bed, home, court",26,"house, bed, home, court",33,"house, home, court, chamber"
οἰνοχοεύω,4,lsj,pour out wine for drinking; was pouring out; cause; to run with wine,82,"wine, drink, thirst, lesbos",5,"pour, sea, wash, stream",9,"pour, wash, wine, water",18,"pour, wine, stream, flow",35,"pour, wine, drink, thirst",50,"wine, drink, thirst, pouring",65,"wine, drink, thirst, pouring",79,"wine, drink, thirst, pouring"
λήιον,4,lsj (relaxed match),standing crop; corn-field; booty,157,"land, ploughing, field, corn",3,"tree, plant, corn, wood",6,"tree, plant, wood, corn",12,"ashes, corn, barley, scatter",27,"corn, barley, pasture, land",38,"pasture, land, wild, grazed",53,"pasture, land, wild, grazed",63,"pasture, land, wild, corn"
αἰγιαλός,4,lsj,"sea-shore, beach; a whole beach of voting-pelbles",205,"sea, beach, river, stillness",5,"pour, sea, wash, stream",8,"sea, sail, swim, ships",16,"sea, sail, swim, ship",32,"sea, sail, swim, ship",46,"sea, sail, swim, ship",61,"sea, sail, swim, ship",74,"sea, sail, swim, ship"
συνόχωκα,4,lsj,to be; bent in; contracted; collapse,-1,(outlier),2,"double, round, stretch, house",5,"round, double, stretch, curved",8,"round, stretch, curved, bend",17,"stretch, curved, bend, spread",24,"curved, bend, twisted, bent",32,"curved, bend, bent, twisted",40,"curved, bend, bent, twisted"
ἐπιδέω2,4,lsj (homograph 2),want; lack of; to be in need; need,61,"need, want, lack, miss",8,"gather, eat, set, ask",16,"gather, eat, ask, prize",33,"ask, inquire, need, desire",65,"ask, need, inquire, desire",96,"need, desire, want, wish",124,"need, desire, want, wish",153,"need, want, lack, crave"
κατίσχω,4,lsj,"hold back; keep by one; possess, occupy; cover",247,"stay, hold, restrain, remain",6,"leap, away, come, send",10,"away, cut, shut, break",21,"shut, bind, hold, fasten",40,"shut, bind, ward, hold",60,"shut, ward, hold, restrain",77,"ward, hold, restrain, kept",94,"hold, restrain, check, kept"
ἀλγέω,4,lsj,"feel bodily pain, suffer; smarting with pain; suffer, be ill; suffer hardship",-1,(outlier),12,"wrath, reproach, slain, pray",25,"wrath, slay, slain, destroy",50,"wrath, pain, baneful, anger",99,"pain, distressed, grief, tears",148,"pain, distressed, tears, wretched",197,"pain, distressed, wretched, tears",244,"pain, distressed, wretched, tears"
πτέρυξ,4,lsj,"wing; wings; winged creature, bird; flight, augury, omen",125,"bird, winged, corvus, poplar",1,"draw, chariot, hair, swift",1,"swift, goat, wild, bird",1,"swift, goat, bird, wild",3,"bird, winged, fly, star",3,"bird, winged, fly, star",4,"bird, winged, fly, star",6,"bird, winged, fly, star"
μῆχος,4,lsj,"means, expedient, remedy; mag",5,"remedy, heal, cure, medicine",11,"glad, delight, good, care",22,"glad, delight, care, rejoice",43,"glad, delight, care, awe",85,"care, heed, succour, cure",125,"care, heed, succour, cure",164,"care, heed, succour, cure",205,"cure, heal, remedy, medicine"
ἀστεμφής,4,lsj,"unmoved, unshaken; stiff; fast!; stiffly, starkly",-1,(outlier),11,"glad, delight, good, care",22,"glad, delight, care, rejoice",43,"glad, delight, care, awe",86,"glad, delight, heart, rejoice",127,"heart, affection, love, gentle",167,"gentle, softly, tender, delicate",209,"gentle, softly, tender, delicate"
ἀστράπτω,4,lsj,"lighten, hurl lightnings; it lightens; it lightened; flash",167,"flashing, lightning, sparkling, twinkling",4,"burn, dark, wind, heat",7,"burn, dark, heat, wind",13,"dark, black, white, grey",29,"light, bright, radiant, shine",42,"heaven, cloud, air, sky",57,"heaven, cloud, air, sky",69,"thunder, lightning, flash, lighten hurl"
ἀμφίβροτος,4,lsj,covering the whole man; surrounding,101,"shelter, surround, cover, embrace",9,"fear, sleep, years, day",18,"fear, hide, fight, shield",39,"fear, hide, shield, cower",77,"hide, shield, shelter, covered",115,"shield, shelter, hide, refuge",153,"shield, shelter, hide, refuge",192,"shield, shelter, hide, covered"
ἄρκιος,4,lsj,"to be relied on, sure, certain; hope; certain; sure",-1,(outlier),11,"glad, delight, good, care",23,"mighty, courage, strength, equal",45,"courage, strength, equal, wrought",90,"fat, firm, smooth, small",132,"fat, firm, smooth, thickness",175,"firm, smooth, solid, easy",218,"sort, easy, appearance, precise"
πενταέτηρος,4,lsj,five years old,288,"years, year year, old, lasting",9,"fear, sleep, years, day",17,"day, years, time, early",35,"years, sum, thousand, fifth",69,"years, sum, number, fifth",103,"years, sum, number, thousand",136,"years, fifth, number, seven",169,"years, fifth, seven, count"
αὐτόματος,4,lsj,"acting of oneʼs own will, of oneself; self-acting, spontaneous; marionettes; spontaneous",4,"solitary, single, lonely, private",8,"gather, eat, set, ask",16,"gather, eat, ask, prize",31,"gather, meet, set, ready",63,"gather, meet, collect, people",92,"solitary, single, oneself, lonely",120,"single, solitary, oneself, lonely",149,"single, solitary, oneself, lonely"
αἰθαλόεις,4,lsj,"smoky, sooty; black; that are burnt out; burning, blazing",124,"burn, kindle, smoke, heat",4,"burn, dark, wind, heat",7,"burn, dark, heat, wind",14,"burn, kindle, smoke, heat",30,"burn, kindle, heat, smoke",43,"burn, kindle, smoke, heat",58,"burn, kindle, heat, smoke",71,"burn, kindle, heat, smoke"
θύρετρα,4,lsj,"door; door-casing, frame",274,"roof, door, lintel, threshold",2,"double, round, stretch, house",4,"house, stone, door, roof",7,"house, stone, door, wall",14,"house, roof, door, home",20,"roof, door, gates, wall",27,"roof, door, gates, wall",35,"roof, door, gates, folding"
ἀναβάλλω,4,lsj,throw up; foss and dyke; put on; mount,194,"mount, scaled, step, rise",1,"draw, chariot, hair, swift",2,"draw, chariot, bronze, dart",2,"bronze, axe, spear, pointed",6,"shaft, oar, rod, bar",7,"shaft, oar, rod, bar",9,"prop, pointed, spin, thread",12,"prop, pointed, thread, spin"
ἐρίτιμος,4,lsj,"highly-prized, precious; sardine",-1,(outlier),3,"tree, plant, corn, wood",6,"tree, plant, wood, corn",11,"tree, plant, wood, grapes",24,"tree, wood, grapes, pine",34,"grapes, fig, tree, fruit",46,"saffron, arum, poplar, olive",55,"arum, saffron, poplar, olive"
ἕκαθεν,4,lsj,"from afar; far off, far away",298,"far, away, aloof, distant",6,"leap, away, come, send",12,"far, outside, near, hither",24,"outside, far, near, hither",47,"far, near, nigh hand, away",69,"far, near, nigh, away",89,"far, away, aloof, apart",108,"far, away, aloof, apart"
προχέω,4,lsj,pour forth; forward; pour in; first,95,"pour, drop, drink offering, shed",5,"pour, sea, wash, stream",9,"pour, wash, wine, water",18,"pour, wine, stream, flow",35,"pour, wine, drink, thirst",51,"pour, filled, satisfy, flow",66,"pour, filled, satisfy, flow",81,"pour, flow, forth, libation"
Φωκεύς,4,lsj,Phocian; Phocis,204,"phthia, phrygian, phocis, daulis",7,"born, son, old, ruler",15,"ruler, address, leader, divine",29,"troy, olympus, land, trojan",58,"abydos, son, nymph, ti",84,"son, phthia, nymph, pytho",109,"son, phthia, nymph, pytho",135,"son, phthia, pytho, nymph"
Λοκροί,4,lsj,the Locrians; the Opuntian; the Epicnemidian; the Ozolian,249,"achaian, thebes, greeks, abydos",7,"born, son, old, ruler",15,"ruler, address, leader, divine",29,"troy, olympus, land, trojan",57,"troy, olympus, land, trojan",83,"troy, olympus, land, trojan",108,"troy, land, olympus, trojan",134,"troy, olympus, trojan, athens"
Εὔβοια,4,lsj,Euboea; from Euboea; a Euboean; Euboean,-1,(outlier),7,"born, son, old, ruler",15,"ruler, address, leader, divine",29,"troy, olympus, land, trojan",57,"troy, olympus, land, trojan",83,"troy, olympus, land, trojan",108,"troy, land, olympus, trojan",134,"troy, olympus, trojan, athens"
ἀμπελόεις,4,lsj,"rich in vines, vine-clad; of the vine; vine",171,"grapes, vine, uvula, bunch",3,"tree, plant, corn, wood",6,"tree, plant, wood, corn",11,"tree, plant, wood, grapes",24,"tree, wood, grapes, pine",34,"grapes, fig, tree, fruit",47,"grapes, fig, fruit, tree",56,"grapes, fig, fruit, tree"
κυδιάω,4,lsj,"bear oneself proudly, exult; exult in",121,"glory, honour, exult, delight",11,"glad, delight, good, care",22,"glad, delight, care, rejoice",43,"glad, delight, care, awe",86,"glad, delight, heart, rejoice",126,"glad, delight, rejoice, awe",166,"awe, rejoice, reverence, exult",208,"awe, rejoice, reverence, honour"
εἰνοσίφυλλος,4,lsj,with quivering foliage,18,"tremble, shake, quivering, quake",9,"fear, sleep, years, day",18,"fear, hide, fight, shield",37,"laugh, mock, lycia, shudder",73,"laugh, mock, shudder, swell",108,"laugh, mock, shudder, story",143,"laugh, shudder, swell, swollen",179,"laugh, shudder, quivering, siren"
υἱωνός,4,lsj,grandson,-1,(outlier),7,"born, son, old, ruler",14,"born, old, wife, marriage",28,"born, old, age, young",55,"old, age, youthful, childish",80,"old, age, youthful, childish",105,"old, age, youthful, childish",130,"age, youthful, childish, old"
τριχθά,4,lsj,into; in three parts; into three pieces,292,"threefold, thrice, fourth, triple",6,"leap, away, come, send",10,"away, cut, shut, break",19,"cut, break, strip, end",37,"break, end, asunder, twain",53,"half, twain, divided, portion",69,"half, twain, divided, apart",85,"half, twain, divided, apart"
ἐγχεσίμωρος,4,lsj,fighting with the spear,210,"spear, fork, lance, ashen",1,"draw, chariot, hair, swift",2,"draw, chariot, bronze, dart",2,"bronze, axe, spear, pointed",4,"axe, wound, blood, spear",4,"axe, spear, knife, sword",5,"axe, spear, sword, knife",7,"axe, spear, sword, knife"
εἰρήνη,4,lsj,"peace; time of peace; a peace, treaty of peace; the goddess of peace",76,"peace, goddess, white, faculty seeing",7,"born, son, old, ruler",14,"born, old, wife, marriage",27,"wife, marriage, bride, brother",54,"wife, marriage, bride, brother",78,"woman, peace, goddess, mistress",103,"woman, peace, goddess, mistress",127,"woman, peace, goddess, queen"
περίδρομος,4,lsj,"running round, encircling; wandering, roaming; gadabout; that can be run round",-1,(outlier),2,"double, round, stretch, house",5,"round, double, stretch, curved",8,"round, stretch, curved, bend",19,"turn, straight, tread, roll",27,"turn, straight, tread, walk",36,"tread, walk, roll, step",45,"tread, roll, walk, step"
Παφλαγών,4,lsj,Paphlagonian; the country,249,"achaian, thebes, greeks, abydos",7,"born, son, old, ruler",15,"ruler, address, leader, divine",29,"troy, olympus, land, trojan",57,"troy, olympus, land, trojan",83,"troy, olympus, land, trojan",108,"troy, land, olympus, trojan",133,"land, space, foreign, country"
κυρέω,4,lsj,"hit, light upon; meet with, fall in with; having struck against; reaching to",-1,(outlier),6,"leap, away, come, send",11,"leap, rouse, tremble, throw",23,"leap, rouse, tremble, throw",46,"throw, dash, fly, headlong",68,"throw, dash, fly, headlong",88,"dash, headlong, sink, reach",107,"dash, sink, headlong, reach"
πεινάω,4,lsj,"to be hungry; to be starved; hunger after; hunger, crave after",52,"eat, devour, hunger, food",8,"gather, eat, set, ask",16,"gather, eat, ask, prize",32,"eat, meal, feast, hunger",64,"eat, meal, feast, supper",94,"eat, devour, hunger, food",122,"eat, devour, hunger, food",151,"eat, devour, hunger, food"
νυός,4,lsj,"daughter-in-law; daughter-by-marriage; bride, wife; snusā",87,"wife, marriage, wedding, marry",7,"born, son, old, ruler",14,"born, old, wife, marriage",27,"wife, marriage, bride, brother",54,"wife, marriage, bride, brother",79,"wife, marriage, brother, bride",104,"wife, marriage, brother, bride",128,"wife, marriage, brother, bride"
ἀποτίθημι,4,lsj,"put away, stow away; class; expose; put away from oneself, lay aside",-1,(outlier),6,"leap, away, come, send",10,"away, cut, shut, break",20,"return, away, leave, retire",38,"return, away, leave, retire",57,"away, leave, retire, withdraw",73,"away, leave, retire, withdraw",89,"away, leave, retire, withdraw"
θέσκελος,4,lsj,"set in motion by God; marvellous, wondrous; of wonder; Fr.anon",-1,(outlier),7,"born, son, old, ruler",15,"ruler, address, leader, divine",30,"address, ruler, leader, lord",59,"divine, zeus, god, heracles",86,"divine, zeus, god, heracles",111,"divine, zeus, god, heracles",138,"divine, god, holy, law"
πηός,4,lsj,kinsman by marriage; kinsman,108,"law, brother, sister, kinsman",7,"born, son, old, ruler",14,"born, old, wife, marriage",27,"wife, marriage, bride, brother",54,"wife, marriage, bride, brother",79,"wife, marriage, brother, bride",104,"wife, marriage, brother, bride",128,"wife, marriage, brother, bride"
αἴγειος,4,lsj,of a goat; goatʼs; of goatskin,120,"cattle, sheep, goat, shepherd",1,"draw, chariot, hair, swift",1,"swift, goat, wild, bird",1,"swift, goat, bird, wild",1,"herd, goat, cattle, wild",1,"herd, goat, cattle, wild",2,"cattle, herd, goat, boar",4,"cattle, goat, sheep, herd"
μάχαιρα,4,lsj,large knife; dirk; carving-knife; sacrificial knife,-1,(outlier),1,"draw, chariot, hair, swift",2,"draw, chariot, bronze, dart",2,"bronze, axe, spear, pointed",4,"axe, wound, blood, spear",4,"axe, spear, knife, sword",5,"axe, spear, sword, knife",7,"axe, spear, sword, knife"
τίνυμαι,4,lsj,"punish, chastise; chastising; avenge, take vengeance for; avenge oneself",-1,(outlier),12,"wrath, reproach, slain, pray",25,"wrath, slay, slain, destroy",50,"wrath, pain, baneful, anger",100,"wrath, hateful, rage, cruel",149,"wrath, strike, rage, raging",198,"wrath, strike, rage, raging",247,"wrath, outrage, curses, sinner"
ἐπίορκος,4,lsj,sworn falsely; a false oath; falsely; a bootless oath,-1,(outlier),12,"wrath, reproach, slain, pray",24,"swear, oath, know, reproach",48,"swear, oath, reproach, counsel",96,"swear, oath, counsel, pray",144,"swear, oath, pray, pledge",192,"oath, swear, pledge, assent",239,"swear, oath, pledge, assent"
ἁρμόζω,4,lsj,"fit together, join; joinerʼs; put together; plant",-1,(outlier),8,"gather, eat, set, ask",16,"gather, eat, ask, prize",31,"gather, meet, set, ready",63,"gather, meet, collect, people",91,"gather, meet, collect, assemble",118,"unite, comrade, join, friendly",146,"unite, comrade, join, friendly"
ἀναγνάμπτω,4,lsj,"bend back; was bent back; undo, loose",237,"bend, curve, double, arm",2,"double, round, stretch, house",5,"round, double, stretch, curved",8,"round, stretch, curved, bend",17,"stretch, curved, bend, spread",24,"curved, bend, twisted, bent",32,"curved, bend, bent, twisted",40,"curved, bend, bent, twisted"
ἐξαρπάζω,4,lsj,snatch away from; rescue; to be carried off; the captured ones,262,"carry, away, snatch, remove",6,"leap, away, come, send",10,"away, cut, shut, break",21,"shut, bind, hold, fasten",39,"seize, carry, snatch, away",58,"carry, seize, snatch, away",74,"carry, seize, snatch, away",90,"carry, seize, snatch, away"
ὀιζύω,4,lsj (relaxed match),"wail, mourn; suffer; to be miserable",265,"grief, grieving, mourning, sorrowing",10,"loud, sound, shout, lament",21,"loud, sound, shout, lament",42,"loud, sound, shout, voice",82,"lament, shout, wail, groan",121,"lament, shout, wail, groan",159,"lament, shout, wail, groan",199,"lament, wail, groan, sigh"
βιβρώσκω,4,lsj,"eat, eat up; eat of; to be eaten; decay",52,"eat, devour, hunger, food",8,"gather, eat, set, ask",16,"gather, eat, ask, prize",32,"eat, meal, feast, hunger",64,"eat, meal, feast, supper",94,"eat, devour, hunger, food",122,"eat, devour, hunger, food",151,"eat, devour, hunger, food"
ἐγγίγνομαι,4,lsj,"to be born in; to be bred in; spring up, appear in; among",129,"born, birth, bred, descent",7,"born, son, old, ruler",14,"born, old, wife, marriage",28,"born, old, age, young",56,"born, mother, travail, birth",82,"born, travail, birth, young",107,"born, travail, birth, young",132,"born, travail, birth, young"
λοιβή,4,lsj,pouring; drink-offering; water,95,"pour, drop, drink offering, shed",5,"pour, sea, wash, stream",9,"pour, wash, wine, water",18,"pour, wine, stream, flow",35,"pour, wine, drink, thirst",50,"wine, drink, thirst, pouring",65,"wine, drink, thirst, pouring",79,"wine, drink, thirst, pouring"
πρωτόγονος,4,lsj,"first-born, firstling; first-born, first-created; high-born; bringing forth first",129,"born, birth, bred, descent",7,"born, son, old, ruler",14,"born, old, wife, marriage",28,"born, old, age, young",56,"born, mother, travail, birth",82,"born, travail, birth, young",107,"born, travail, birth, young",132,"born, travail, birth, young"
ἐπιπέτομαι,4,lsj,"fly to; towards; fly over; fly over to, run eagerly after",140,"fly, flight, rout, wing",6,"leap, away, come, send",11,"leap, rouse, tremble, throw",23,"leap, rouse, tremble, throw",46,"throw, dash, fly, headlong",68,"throw, dash, fly, headlong",87,"fly, flight, run eagerly, matt",105,"fly, flight, run eagerly, ev matt"
διπλόος,4,lsj,"twofold, double; so as to be double; double; of two stories",293,"double, folded, twofold, twice",2,"double, round, stretch, house",5,"round, double, stretch, curved",10,"double, right, hand, left",22,"double, folded, threefold, twofold",31,"double, folded, threefold, twofold",41,"double, twice, twofold, handled whichsoever",50,"double, twice, twofold, nature barbs"
μίτρα,4,lsj,"maidenʼs girdle; girdle worn by wrestlers; surgical bandage; headband, snood",239,"girdle, belt, snood, band",1,"draw, chariot, hair, swift",3,"hair, skin, wool, cloth",5,"cloth, wool, cord, girdle",11,"cord, girdle, rope, belt",13,"cord, girdle, rope, leathern",18,"girdle, leathern, belt, thong",22,"girdle, leathern, belt, thong"
πύθω,4,lsj,"cause to rot; become rotten, decay, moulder; p[umacracute]yati",143,"destroy, utterly, perish, waste",12,"wrath, reproach, slain, pray",25,"wrath, slay, slain, destroy",49,"slay, destroy, sacrifice, slain",97,"destroy, perish, utterly, waste",145,"destroy, utterly, perish, waste",193,"destroy, utterly, perish, waste",240,"destroy, utterly, perish, waste"
καίριος,4,lsj,"at the right place; a vital part; mortal; grave, serious",36,"dead, life, living, live",12,"wrath, reproach, slain, pray",25,"wrath, slay, slain, destroy",49,"slay, destroy, sacrifice, slain",98,"slay, sacrifice, slain, dead",147,"dead, mortal, funeral, burial",195,"mortal, dead, die, life",242,"mortal, dead, die, life"
ζῶμα,4,lsj,"loin-cloth, drawers; band; womanʼs girdle",239,"girdle, belt, snood, band",1,"draw, chariot, hair, swift",3,"hair, skin, wool, cloth",5,"cloth, wool, cord, girdle",11,"cord, girdle, rope, belt",13,"cord, girdle, rope, leathern",18,"girdle, leathern, belt, thong",22,"girdle, leathern, belt, thong"
Χείρων,4,lsj,Cheiron,153,"thrace, thracian, cheiron, calchas",7,"born, son, old, ruler",15,"ruler, address, leader, divine",29,"troy, olympus, land, trojan",58,"abydos, son, nymph, ti",85,"abydos, irus, ti, manger",110,"abydos, ti, irus, cithara",137,"irus, abydos, luo, manger"
χολωτός,4,lsj,"angry, wrathful; bilious",269,"wrath, angry, guilt, indignation",12,"wrath, reproach, slain, pray",25,"wrath, slay, slain, destroy",50,"wrath, pain, baneful, anger",100,"wrath, hateful, rage, cruel",149,"wrath, strike, rage, raging",198,"wrath, strike, rage, raging",247,"wrath, outrage, curses, sinner"
οὐλαμός,4,lsj,throng of warriors; a swarm; troop,-1,(outlier),9,"fear, sleep, years, day",18,"fear, hide, fight, shield",38,"fight, quarrel, battle, strife",75,"fight, battle, quarrel, strife",112,"fight, battle, quarrel, strife",150,"fight, battle, quarrel, strife",189,"fight, battle, quarrel, strife"
ἐξόπιθεν,4,lsj,"behind, in rear; behind",271,"rear, rank presence, presence henceforth, head left",6,"leap, away, come, send",11,"leap, rouse, tremble, throw",22,"fall, lift, high, drop",41,"beneath, lowest, atop, lower",61,"beneath, lowest, atop, lower",78,"beneath, lowest, atop, lower",95,"beneath, lowest, atop, lower"
ἐπιμειδάω,4,lsj,smile at; upon; with a smile,-1,(outlier),9,"fear, sleep, years, day",18,"fear, hide, fight, shield",37,"laugh, mock, lycia, shudder",73,"laugh, mock, shudder, swell",108,"laugh, mock, shudder, story",143,"laugh, shudder, swell, swollen",179,"laugh, shudder, quivering, siren"
ἀθλεύω,4,lsj,contend for a prize; struggling; suffering,-1,(outlier),8,"gather, eat, set, ask",16,"gather, eat, ask, prize",34,"gift, prize, guest, work",68,"prize, worth, gain, oxen",100,"prize, gain, beggar, contend",131,"prize, contend, contest, struggling",162,"prize, contend, contest, struggling"
κορυστής,4,lsj,"helmed man, armed warrior",-1,(outlier),9,"fear, sleep, years, day",18,"fear, hide, fight, shield",38,"fight, quarrel, battle, strife",75,"fight, battle, quarrel, strife",111,"protector, helper, staunch, defender",149,"protector, helper, staunch, defender",188,"protector, helper, staunch, defender"
λελίημαι,4,lsj,strive eagerly; eager; eager for; rushing,30,"eager, desire, delay, rages",9,"fear, sleep, years, day",17,"day, years, time, early",36,"day, year, time, early",72,"haste, late, eager, wait",107,"haste, eager, late, wait",141,"haste, eager, quickly, desire",177,"haste, eager, quickly, speed"
κύπτω,4,lsj,"bend forward, stoop; with the head down; at full speed; stooping",-1,(outlier),6,"leap, away, come, send",11,"leap, rouse, tremble, throw",23,"leap, rouse, tremble, throw",46,"throw, dash, fly, headlong",68,"throw, dash, fly, headlong",88,"dash, headlong, sink, reach",107,"dash, sink, headlong, reach"
ἕλος,4,lsj,marsh-meadow; marshy ground; backwater,127,"meadow, pasture, grassy, ground backwater",3,"tree, plant, corn, wood",6,"tree, plant, wood, corn",12,"ashes, corn, barley, scatter",26,"ashes, scatter, dust, sand",37,"ashes, scatter, dust, sand",52,"ashes, dust, sand, filth",62,"ashes, dust, sand, filth"
Τριτογένεια,4,lsj,Trito-born; head-born; born on the third day; the third child,130,"travail, born, pangs, childbirth",7,"born, son, old, ruler",15,"ruler, address, leader, divine",29,"troy, olympus, land, trojan",58,"abydos, son, nymph, ti",85,"abydos, irus, ti, manger",110,"abydos, ti, irus, cithara",137,"irus, abydos, luo, manger"
ἄχρι,4,lsj,"to the uttermost; still; even to, as far as; until",225,"time, far, moment, present",9,"fear, sleep, years, day",17,"day, years, time, early",36,"day, year, time, early",70,"year, day, time, long",105,"time, long, wise, far",139,"time, long, wise, far",175,"long, time, far, wise"
ἀποπνέω,4,lsj,"breathe forth; giving up; to blow; off, get rid of",67,"breathe, blow, breathing, exhaust",6,"leap, away, come, send",11,"leap, rouse, tremble, throw",23,"leap, rouse, tremble, throw",45,"breathe, vomit, blow, spit",67,"breathe, blow, vomit, spit",85,"breathe, blow, vomit, spit",103,"breathe, blow, vomit, spit"
ἀπερύκω,4,lsj,keep off; away; prevent; from,248,"ward, defend, exclude, prevent",6,"leap, away, come, send",10,"away, cut, shut, break",20,"return, away, leave, retire",38,"return, away, leave, retire",57,"away, leave, retire, withdraw",73,"away, leave, retire, withdraw",89,"away, leave, retire, withdraw"
ὀπωρινός,4,lsj,late summer,256,"early, morning, dawn, evening",9,"fear, sleep, years, day",17,"day, years, time, early",36,"day, year, time, early",70,"year, day, time, long",104,"year, day day, days, season",138,"year, day, season, winter",173,"year, season, winter, summer"
μιαιφόνος,4,lsj,"bloodthirsty, murderous; of murder; murderess",78,"blood, red, gore, murderous",12,"wrath, reproach, slain, pray",25,"wrath, slay, slain, destroy",49,"slay, destroy, sacrifice, slain",98,"slay, sacrifice, slain, dead",146,"slay, sacrifice, slaughter, slain",194,"slay, sacrifice, slaughter, slain",241,"slay, sacrifice, slaughter, slain"
θήρα,4,lsj,"hunting of wild beasts, the chase; fishing; eager pursuit; prey, game",142,"prey, beasts, chase, wild",1,"draw, chariot, hair, swift",1,"swift, goat, wild, bird",1,"swift, goat, bird, wild",1,"herd, goat, cattle, wild",1,"herd, goat, cattle, wild",1,"beasts, prey, chase, huntress",1,"beasts, prey, chase, hunting"
ἐρῆμος,4,lsj,"desolate, lonely, solitary; desert parts; empty; solitary, not gregarious",4,"solitary, single, lonely, private",8,"gather, eat, set, ask",16,"gather, eat, ask, prize",31,"gather, meet, set, ready",63,"gather, meet, collect, people",92,"solitary, single, oneself, lonely",120,"single, solitary, oneself, lonely",149,"single, solitary, oneself, lonely"
ἐξάλλομαι,4,lsj,leap out of; forth from; springing out from the midst; leap,28,"leap, spring, rush, sal",6,"leap, away, come, send",11,"leap, rouse, tremble, throw",23,"leap, rouse, tremble, throw",43,"leap, spring, fountain, rush",64,"leap, spring, sal, rise rebound",81,"leap, spring, rise rebound, jump",99,"leap, spring, rise rebound, sal"
ἐξαίνυμαι,4,lsj,take out; away; took out (and placed); animam eripuit,262,"carry, away, snatch, remove",6,"leap, away, come, send",10,"away, cut, shut, break",21,"shut, bind, hold, fasten",39,"seize, carry, snatch, away",58,"carry, seize, snatch, away",74,"carry, seize, snatch, away",90,"carry, seize, snatch, away"
ἀγκύλος,4,lsj,"crooked, curved; beaked; hooked; intricate",-1,(outlier),2,"double, round, stretch, house",5,"round, double, stretch, curved",8,"round, stretch, curved, bend",17,"stretch, curved, bend, spread",24,"curved, bend, twisted, bent",32,"curved, bend, bent, twisted",40,"curved, bend, bent, twisted"
ἀπέλεθρος,4,lsj,immeasurable; immeasurably; countless,138,"countless, immense, boundless, unutterable",11,"glad, delight, good, care",23,"mighty, courage, strength, equal",44,"mighty, glorious, famous, countless",88,"mighty, countless, immense, exceedingly",129,"mighty, countless, immense, exceedingly",171,"mighty, immense, countless, exceedingly",213,"mighty, immense, countless, exceedingly"
καρτερόθυμος,4,lsj,"stronghearted; strong, mighty",306,"mighty, strength, strong, force",11,"glad, delight, good, care",23,"mighty, courage, strength, equal",45,"courage, strength, equal, wrought",91,"strength, courage, wrought, stout",133,"strength, strong mighty, fierce, force",176,"strength, mighty, strong, fierce",220,"strength, mighty, strong, fierce"
