verb,frequency,frame_hdbscan,frame_label,frame_ward_25,gloss,top_subjects,top_objects
κορύσσω,26,14,"arm, stay, strip, angry",18,"furnish with a helmet; fit out, equip, marshal; equip, arm oneself; headed with",Πάτροκλος(1); Ἀχιλλεύς(1); Αἴας(1),τεῦχος(1); πόλεμος(1); κῦμα(1); πόντος(1)
ἐπιπείθομαι,26,3,"moan, melt, hope, bade",25,"to be persuaded; trust; to, put faith in; comply with, obey",θυμός(9); Τηλέμαχος(3); Πάτροκλος(3),πατήρ(3); ἑταῖρος(3); μῦθος(2); ἔπος(2)
βλάπτω,26,-1,(unassigned),23,"disable, hinder; disable; lame; entangled",γόνυ(2); θεός(1),φρήν(2); ἄνθρωπος(2); κέλευθος(1)
ἁνδάνω,26,-1,(unassigned),12,"please, delight, gratify; pleased; with; the opinion",βουλή(4); μῦθος(3); κοῖτος(1); νύμφη(1),Ἀγαμέμνων(3); Ἕκτωρ(2)
νύσσω,26,37,"strike, strip, wound, smite",18,"touch with a sharp point, prick, stab, pierce; dinting; having nudged; prick",Αἴας(3); Ἰδομενεύς(2); Ἰφιδάμας(1); Μηριόνης(1),ἀσπίς(3); Χερσιδάμας(1); σάκος(1)
δείκνυμι,26,-1,(unassigned),21,"bring to light, show forth; portray, represent; cause; render",Ὀδυσσεύς(1); κῆρυξ(1),κτῆμα(2); σῆμα(2)
μεταλλάω,26,9,"reproach, fear, awe, sense",2,"search carefully, inquire diligently; inquire of, question; sought; out",,ἕκαστος(1)
παπταίνω,26,-1,(unassigned),16,"look about one with a sharp, searching glance; looked about; look wistfully; look round for, look after",ἕκαστος(3); Ὀδυσσεύς(1); ὄσσε(1),Αἴας(1); υἱός(1); Μαχάων(1)
ὀφέλλω,26,-1,(unassigned),19,"increase, enlarge, strengthen; raises high; multiply; add to",οἶκος(1); ξένος(1); δῆμος(1); χρέος(1),πόνος(3); οἶκος(1); δέμας(1)
ἀλεείνω,26,-1,(unassigned),1,"avoid, shun; evaded; shrink",,κήρ(7); θεοπροπία(2); βία(2); χόλος(1); ὑφορβός(1)
ἐπορούω,25,37,"strike, strip, wound, smite",18,spring at; sprang to; came suddenly upon; spring upon,Ἀχιλλεύς(4); ὕπνος(1); Μέγης(1),Κόων(1); Ἀντίλοχος(1); ἅρμα(1)
γοάω,25,18,"owe, crying, ply, dead",16,"groan, weep; bewail",μήτηρ(2); Ὀδυσσεύς(1),πότμος(2); πόσις1(1); Ἕκτωρ(1)
νίζω,25,28,"straight, wash hands, thrust away, bear",9,wash the hands; feet; to wash oneʼs hands; from,Ὀδυσσεύς(1); κῦμα(1),χείρ(4); αἷμα(3); πούς(2); σπόγγος(1)
ὑπισχνέομαι,25,-1,(unassigned),21,take upon oneself; undertake to do; promise; she makes promises,Ὀδυσσεύς(1); Ἀγαμέμνων(1),ἀνήρ(3); ἔργον(2)
θρῴσκω,25,37,"strike, strip, wound, smite",18,"leap, spring; tossed; leap upon, assault; attack",κλῆρος(3); αἰγυπιός(1); Ἀργεῖος(1); ὀιστός(1); Ἀντίλοχος(1),πρόμαχος(1); κυνέη(1)
πάλλω,25,37,"strike, strip, wound, smite",18,"poise, sway; sway, brandish; toss; drove",Ἀχιλλεύς(2); Αἴας(1); ἦτορ(1); Ἕκτωρ(1),δόρυ(5); κλῆρος(3); μελία(1)
γελάω,25,-1,(unassigned),7,laugh; laughed; a laugh being raised; laughs scornfully,μνηστήρ(1); κῆρ(1); χθών(1); ἦτορ(1),
ἰάλλω,25,37,"strike, strip, wound, smite",18,send forth; they put forth; laid; threw,Ζεύς(1); Τεῦκρος(1),χείρ(16); δεσμός(4); ὀιστός(2); πρέσβυς(1); ἄριστος(1)
νωμάω,25,-1,(unassigned),18,"deal out, distribute; pour; the several; direct, guide",Εὐρύμαχος(1); Ἕκτωρ(1); Ἀχιλλεύς(1); Ἄρης(1),πᾶς(7); γόνυ(4); πούς(3); κέρδος(2); τόξον(2)
καταθνήσκω,25,-1,(unassigned),21,"Nuova Silloge; die away, be dying; died; to be dead",ἀνήρ(2); μήτηρ(1); πατήρ(1); Πάτροκλος(1),πολύς(1)
ἐλεαίρω,25,32,"stretch, spread scatter, send, honour",20,take pity on,θεός(2); θεά(1); Ὀδυσσεύς(1),γυνή(1); Ἀχαιός(1)
πείρω,25,-1,(unassigned),3,"pierce, run through; spitted; they stuck; ran",,πόλεμος(4); κῦμα(4); ὀβελός(2); κέλευθος(1); τόξον(1)
τείνω,25,-1,(unassigned),23,stretch; pull tight; having tied; tight,δρόμος(3); πόλεμος(3); μάχη(2); ἱστίον(1),ἡνία(5); βροτός(1); λαῖλαψ(1); τέλος(1)
μεταυδάω,25,27,"speak, address, hear, exchange",23,"speak among; address; accost, address",δῖος(1); Πηνελόπεια(1),ἔπος(4); Φαίαξ(4); ἀθάνατος(3); ἑταῖρος(3); Ἀργεῖος(3)
ἁμαρτάνω,25,-1,(unassigned),21,"Acut. (Sp.); miss the mark; miss; fail of oneʼs purpose, go wrong",Ἀτρείδης(2),ὄρνις(2); μῦθος(1); στειλειή(1); σκοπός(1)
ἐξαιρέω,25,37,"strike, strip, wound, smite",23,take out; take out for oneself; his; their,υἱός(2); Ζεύς(2); ἀγρότης(1); ἥλιος(1),θυμός(4); φρήν(3)
θαυμάζω,24,39,"abandon, congeal, curdle, portion",23,"wonder, marvel; marvel at; wonder; honour, admire, worship",ἄνθρωπος(1); ἅπας(1); υἱός(1),Τηλέμαχος(3); πατήρ(1); λιμήν(1)
μενοινάω,24,11,"pray, incur, need, born",23,desire eagerly; were eager to see; eager; design,νόος(3); Ὀδυσσεύς(1); πεζός(1),ὅσος(2); κακός(1); Τρώς(1)
μνάομαι,24,-1,(unassigned),9,"to be mindful of; when I remember him; turn oneʼs mind; woo for oneʼs bride, court",ἕτερος(2); τόσος(1); περικτίονες(1); ἀνήρ(1),ἄκοιτις(2); μήτηρ(2); ἄλοχος(2); δάμαρ(2); φόβος(2)
λιλαίομαι,24,-1,(unassigned),16,long; desire earnestly; long to be; longing,ἀνήρ(1); Ἀχιλλεύς(1),βίοτος(2); ὁδός(1); δόρπον(1); πόλεμος(1)
ἀντιβολέω,24,37,"strike, strip, wound, smite",19,"meet; to be present at; partake of, have oneʼs share of; fall to oneʼs lot",Ἑρμῆς(1); γάμος(1); θεά(1); Ἀθήνη(1),τάφος(2); μάχη(2); φόνος(1)
δουπέω,24,31,"heavy, aim, disembark, cheat",7,sound heavy; dead; the heavy thud of a corpse; falls with heavy sound,Ἀθήνη(1); Ἥρα(1),
ἀπειλέω,24,14,"arm, stay, strip, angry",19,"keep away; brought; forced; unroll, roll off",υἱός(2); Ἕκτωρ(1); υἱωνός(1),Τρώς(2); ἀθάνατος(1)
ἀμφικαλύπτω,24,40,"contain, hold, seize, catch",12,"enwrap, enfold; received within; love enfolded; overwhelm",ὄρος(3); δόμος(2); νέφος(2); ἔρως(2); πόλις(1),πόλις(5); βλέφαρον(3); ὄρος(2)
ὁμιλέω,24,19,"return, sleep, assemble collect, company",21,"to be in company with, consort with; consortest; joining in company; throng",Ὀδυσσεύς(3); Εὐρύνομος(1); Τηλέμαχος(1),μνηστήρ(8); Δαναοί(2); ἀνήρ(1)
ἀποπέμπω,24,10,"admit, riot, send away, dismiss",1,"send off; away, dispatch, dismiss; dismiss; send away from oneself",,δόμος(1)
φαγεῖν,24,15,"eat, devour, kindle, chase",13,"eat, devour; eat of; eat up, devour, squander; bhájati",ἰχθύς(2); Σκύλλα(1),πᾶς(2); τέκνον(2)
ὑφαίνω,24,29,"taught, weave, send forward, set",22,"weave; weave, ply the loom; contrive, plan; the plot they laid",νύμφη(1),ἱστός(8); μῆτις(7); δόλος(3); φᾶρος(2)
ταρβέω,23,37,"strike, strip, wound, smite",21,"to be frightened, alarmed; feels fear; a state of fear; from fear",κῆρ(1); Τυδεύς(1),πληθύς(1); χαλκός(1); λόφος(1)
ἀναίσσω,23,30,"drive, sway, run, bring brought",17,start up; he rose to speak; gush forth; springing fresh,πηγή(1); Ὀδυσσεύς(1); υἱός(1),ἅρμα(1); ἵππος(1)
ἐνίπτω,23,13,"urge, know, remain, command",18,"reprove, upbraid; reproved; to attack; tell, announce",Μελανθώ(2); Τηλέμαχος(1); Ἀγέλαος(1); υἱός(1),Ὀδυσσεύς(2); Ἀντίνοος(1)
δηιόω,23,17,"slaying, rejoice, eat, flee",14,"cut down, slay; slaying; were slaying; were being slain",Ἀχαιός(6); Τρώς(4); λαός(1); Ἕκτωρ(1),υἱός(2); ἀδελφός(1); ἀσπίς(1); λαισήιον(1)
θεάομαι,23,-1,(unassigned),23,"gaze at, behold; wonder; reconnoitred; do you see?",λαός(2); γυνή(2); Ἀργειφόντης(1); κόρη(1); Ὀδυσσεύς(1),πᾶς(3); ἔργον(2); ἔλαφος(1); ταχυτής(1)
οἰμώζω,23,5,"leap, sal, assemble, went",7,"wail aloud, lament; plague take you !; pity, bewail; bewailed",γέρων(2); Πηλείδης(1); πατήρ(1); Ἀτρείδης(1),
μαίνομαι,23,1,"ring, rattle, tears, gnash",5,"rage, be furious; rage with anger; the madman; to be mad",Ἕκτωρ(2); Ἄρης(1); πῦρ(1); ἐγχείη(1),
θέλγω,23,0,"breathe, witch spell, set hurry, throw overthrow",13,"enchant, be witch; spell-bound; cheat, cozen; charm, beguile",Σειρήν(1); δαίμων(1); Ἀθήνη(1); Ζεύς(1),θυμός(3); ὄμμα(3); λόγος(1)
λάμπω,23,1,"ring, rattle, tears, gnash",5,"give light, shine; ring loud and clear; shine forth, be famous; conspicuous",χαλκός(5); ὄσσε(2); αἰχμή(2); ὀφθαλμός(1); τεῦχος(1),
ποθέω,23,-1,(unassigned),21,"long for, yearn after; miss; regret; will miss",ἥρως(1),ἀρχός(3); κεφαλή(1); νόστος(1); ἑταῖρος(1)
θαρσέω,23,23,"look gaze, courage, share, persuade",21,to be of good courage; to be over-bold; fear not!; with good courage,λαός(2),ἆθλος(1)
ἔπειμι,23,-1,(unassigned),12,"sum; to be upon; to be upon, be set upon; to be attached",σανίς(1); κώπη(1),ἀγρός(2); βοτήρ(1); ὦμος(1)
κυλίνδω,22,12,"sweat, born, stir, rouse",9,roll; trundle; rolls; revolve,πῆμα(3); κῦμα(2); λᾶας(1); ἀρχή(1); Ἕκτωρ(1),Δαναοί(2); κῦμα(1); Τρώς(1)
πλάζω,22,28,"straight, wash hands, thrust away, bear",9,"turn aside; away from; glanced off; balked, baffled",δαίμων(1); χαλκός(1); κῦμα(1),πη(1); ὦμος(1)
βόσκω,22,15,"eat, devour, kindle, chase",12,"feed, tend; the feeder; feed, nourish; maintain, keep",βοῦς(2); γαῖα(1); Ἀμφιτρίτη(1); μῆλον1(1); ἀγέλη(1),γαστήρ(3); ἕτερος(2); ἄνθρωπος(1); πῶυ(1)
πετάννυμι,22,33,"work, strait, pour, stand",9,fly; spread out; opening his doors; flutter,Ὀδυσσεύς(1); αἴθρη(1); αὐγή(1); πέπλος(1),χείρ(6); ἱστίον(5); λίς(2); ἑταῖρος(2); θυμός(1)
δάω,22,32,"stretch, spread scatter, send, honour",9,learn; teach; know; wilt learn,Ἥφαιστος(2); Ἀθήνη(2); Κάλχας(1),τέχνη(2); νόος(2); γυνή(1)
ἔργω,22,-1,(unassigned),23,shut in; shut out; vrajás; urgeo,πτολίεθρον(2); θύρα(1); ζυγόν(1); Ὑρμίνη(1),ὅσος(4); λαός(2); κτῆσις(2); ναῦς(1)
ἀπωθέω,22,28,"straight, wash hands, thrust away, bear",9,"thrust away, push back; pushed; off; thrust away from oneself",ἴς(1); κῦμα(1); ῥόος(1); Βορέας(1),ναῦς(4); θύρα(2); πῦρ(2); ὀχεύς(2)
ἀίω,22,-1,(unassigned),21,"perceive; hear; see; listen to, give ear to",Μενέλαος(1); Ζεύς(1),βοή(3); ἀρά(2); ἀγγελία(1); Τρώς(1); κτύπος(1)
ἀφίημι,22,-1,(unassigned),18,"send forth, discharge; throw oneself; give oneself up; let loose",Ἄρης(3); ἀνήρ(2); Κρονίδης(1); Λεοντεύς(1),ἔγχος(3); μένος(3); χείρ(2); δειρή(1)
συλάω,22,14,"arm, stay, strip, angry",18,"strip off; strip off from; strip; to be stripped, robbed, deprived of",Αἴας(2); Ἀχαιός(2); Μενέλαος(1),τεῦχος(16); Ἴμβριος(1); ἔντεα(1)
κινέω,22,-1,(unassigned),12,set in motion; move; rock; remove,ἀγορά(2); ἄνθρωπος(1); φάλαγξ(1); Ζεύς(1),κάρα(7); θύρα(1); μέλος(1); νεφέλη(1)
ζεύγνυμι,22,30,"drive, sway, run, bring brought",18,"yoke, put to; put to oneʼs; harness, saddle and bridle; put to, get ready",Αὐτομέδων(2); Δεῖμος(1); Φόβος(1); Ἄλκιμος(1),ἵππος(14); ἡμίονος(5); βοῦς(2); Λάμπος(1); Φαέθων(1)
αἴθω,22,1,"ring, rattle, tears, gnash",8,"light up, kindle; burn, blaze; burnt fiercely; aestas, aestus",πῦρ(1),
ἐρητύω,21,3,"moan, melt, hope, bade",25,"restrain, check; parts; to keep away from; prevent",θυμός(3); ἑταῖρος(2); κῆρυξ(2); λαός(1),λαός(2); φώς(2); θυμός(1); φάλαγξ(1)
κοτέω,21,14,"arm, stay, strip, angry",19,"bear; a grudge, be angry at; angry at; angry",ὀβριμοπάτρη(3); θεός(1); Ἀπόλλων(1),Τρώς(2); υἱός(1); ἀλλήλων(1)
ἀποκτείνω,21,-1,(unassigned),23,"kill, slay; condemn to death; put to death",Μαστορίδης(1); Ἕκτωρ(1); ἑταῖρος(1),παῖς(3); πολύς(2); ὀπίστατος(2); βοῦς(1)
δαίζω,21,4,"amazed, astonished, look, whirl swing",25,cleave asunder; slay; pierced through; torn,θυμός(2),χιτών(2); ἵππος(1); ἀνήρ(1)
κορέννυμι,21,15,"eat, devour, kindle, chase",13,"satiate, fill; with; satisfy oneself; might satisfy their",ἀνήρ(1); μήτηρ(1); κύων(1),κύων(3); οἰωνός(3); κρέας(2); θυμός(2); σῖτος(2)
καταπίπτω,21,37,"strike, strip, wound, smite",12,"fall, drop; fell; base, contemptible; accidents",βοάγριον(1); τρυφάλεια(1); γένος(1); θυμός(1),ἅλς2(1)
ὁμοκλέω,21,-1,(unassigned),24,,μνηστήρ(2); πολύς(1),ἀλλήλων(1); Τρώς(1); υἱός(1)
πέρθω,21,-1,(unassigned),12,"waste, ravage, sack; destroy, slay; get by plunder, take",πόλις(3); Ἀχιλλεύς(1); Δαναοί(1),πόλις(9); πτολίεθρον(1); ἄστυ(1); Λυρνησσός(1); Πήδασος(1)
κατερύκω,21,13,"urge, know, remain, command",21,,Νέστωρ(2); θυγάτηρ(1); ἀνήρ(1),δύστηνος(1); σεύω(1)
κυνέω,21,37,"strike, strip, wound, smite",9,kiss; bill,ὑφορβός(1); Ἀμφιθέη(1); Ὀδυσσεύς(1),κεφαλή(7); χείρ(5); φάος(3); ὦμος(3)
ὁπλίζω,21,-1,(unassigned),18,make; get ready; make oneself; ready,ναῦς(1); γυνή(1); ἀνήρ(1); Ἀντίλοχος(1),δόρπον(5); δεῖπνον(2); ἵππος(2); δόρπος(1); ἤια(1)
σπεύδω,21,-1,(unassigned),4,"set going, urge on, hasten; procure quickly, get ready; seek eagerly, strive after; promote",,γάμος(1)
ἔοικα,21,8,"like, guardian, conceal, heed",1,"to be like; it was opportune; will be like; to be like, look like",,θεά(4); ἀνήρ(2); περιξεστός(1); Τηλέμαχος(1)
ἀφαιρέω,21,24,"shut close, beckon, opened, sing",12,take away from; took; from; relieve,πέτρα(1); Μεσαύλιος(1); Ἀπόλλων(1),τεῦχος(3); ὦμος(3); ἦμαρ(2); γέρας(2)
κείρω,21,0,"breathe, witch spell, set hurry, throw overthrow",13,kṛṇā´ti; caro; scieran; shear,γύψ(1); δαίμων(1); Ζεύς(1),κτῆμα(4); κόμη(3); τένων(2); μῆδος1(2); ἧπαρ(1)
ῥιγέω,20,-1,(unassigned),19,"shudder; bristle; shudder to do, shrink from doing; cool",Ἀγαμέμνων(2); θυμός(1); Καλυψώ(1); δῖος(1); Ὀδυσσεύς(1),ἔργον(1); μάχη(1); κτύπος(1); πόλεμος(1)
ἐφίστημι,20,24,"shut close, beckon, opened, sing",4,"set, place upon; set over; to be appointed, instituted; bring in",ξένος(1); ὄναρ(1); παῖς(1),ἀλλήλων(3); θύρα(2); κεφαλή(1); δίφρος(1)
κλονέω,20,14,"arm, stay, strip, angry",12,"drive tumultuously; in confusion; harass, agitate; to be agitated",φάλαγξ(3); Τρώς(2); Ἀχαιός(2); πλεῖστος(2); Αἴας(1),πεδίον(2); Ἀργεῖος(1); ἀγέλη(1); πῶυ(1); νέφος(1)
φθάνω,20,13,"urge, know, remain, command",18,"come; do first; before; to be beforehand with, overtake, outstrip",τέλος(1); πόλις(1); Φυλείδης(1),ἱππεύς(1)
ἀλέξω,20,22,"succour, face, hide cover, assembly",20,"raákṣati; ward off, turn aside; will ward; off from",Ζεύς(1); θεός(1),ἦμαρ(3); ἀνήρ(2); ἀλλήλων(2); Τρώς(2); ναῦς(2)
κατέρχομαι,20,-1,(unassigned),9,go down; go down to the grave; down; descending,ψυχή(3); πᾶς(1),δῶμα(1); Τρώς(1); Αἵδης(1)
λείβω,20,-1,(unassigned),3,"pour, pour forth; make a libation of; let flow, shed; liquefy",,δάκρυον(9); οἶνος(6); θεός(1); Ἀθήνη(1); Ζεύς(1)
ἰαίνω,20,3,"moan, melt, hope, bade",25,"heat; melt; relax by warmth; warm, cheer",θυμός(6); ὕδωρ(1); κηρός(1); οἷος(1),θυμός(6); πᾶς(1); δμώς(1); εὐφροσύνη(1)
ὀρούω,20,2,"roar, old, haste, shout",7,"dart, rush forward; move; rush at, strive after; to be eager",Ἀγαμέμνων(2); ἄνεμος(1); πᾶς(1); δράκων(1),
ἀέξω,20,25,"swear, accuse, oath, say",23,"augeo; vakṣáyati; increase, foster; cherish",ἦμαρ(3); θεός(2); ὄμβρος(2); κῦμα(1); ἔργον(1),πένθος(4); ἔργον(2); υἱός(1)
πιφαύσκω,20,32,"stretch, spread scatter, send, honour",23,"make manifest, tell of; proclaim; showing forth; exhibiting",Δόλων(1); Ζεύς(1),ἔπος(3); πᾶς(2)
ἄνειμι,20,5,"leap, sal, assemble, went",5,go up; rise; I went up a hill; came up,παῖς(2); Ἀστυάναξ(1); ἥλιος(1),
ἐμπίπλημι,20,20,"sprinkle, roast, broil, let flow",12,,ἀγορά(1); ἕδρα(1); Κύκλωψ(1); ὀφθαλμός(1); αἷμα(1),πυρή(2); ἐσθλός(2); αἷμα(2); θυμός(2); ὕδωρ(2)
καίνυμαι,19,9,"reproach, fear, awe, sense",1,,,ἄνθρωπος(2); ὁμηλικία(2); Ἀχαιός(2); κλεπτοσύνη(1); ὅρκος(1)
φοιτάω,19,5,"leap, sal, assemble, went",7,"go to and fro, backwards and forwards; stalk; keep going; on the wing",Ἀτρείδης(3); Αἴας(2); Λαιστρυγών(1); ψυχή(1),
ἀάω,19,-1,(unassigned),23,"hurt, damage; mislead, infatuate; to be infatuated, act foolishly",οἶνος(2); ἑταῖρος(1); αἶσα(1); Αἴας(1),πᾶς(2); Κένταυρος(1); Εὐρυτίων(1); φρήν(1)
χρίω,19,37,"strike, strip, wound, smite",18,"touch the surface of a body slightly; graze; rub, anoint with scented unguents; oil",Κυθέρεια(1),ἰός(1)
χραισμέω,19,-1,(unassigned),8,ward off; from one; keep; off,σκῆπτρον(1); στέμμα(1); βιός(1); ἰός(1); τεῖχος(1),ὄλεθρος(3)
ὑφίστημι,19,22,"succour, face, hide cover, assembly",20,place; set under; having set; under,θεός(1),αἴξ(1)
συμβάλλω,19,39,"abandon, congeal, curdle, portion",23,"throw together, dash together; bring together, unite; have; reaching",ὁδίτης(1); βασιλεύς(1); Τυδεΐδης(1); Ὀδυσσεύς(1),κόρη(1); θυγάτηρ(1); ἀλλήλων(1)
νεύω,19,24,"shut close, beckon, opened, sing",12,"incline in any direction; nod, beckon; beckon; nod",λόφος(5); μνηστήρ(1); Κρονίων(1),κεφαλή(1); ἕκαστος(1); Φοῖνιξ(1)
ἀπέχω,19,16,"fight, retire, shrink, flee",14,keep off or away from; parts; from; keep off,Τρώς(4); Ἀπόλλων(1),πόλεμος(6); βοῦς(2); εὐνή(2); φιλότης(2)
χράω,19,0,"breathe, witch spell, set hurry, throw overthrow",13,"fall upon, attack, assail; inflict; conceive a desire; did he want",δαίμων(2),ψυχή(4); φρήν(3); νόστος(1); γυνή(1)
δεύω2,19,-1,(unassigned),12,"miss, want; he missed, failed; feel the want; loss of, be without",Ἀχαιός(1); δεκάς(1); θυμός(1); λαός(1); βωμός(1),ἐσθής(2); ἀλκή(2); δαίς1(2)
ἀφύσσω,19,21,"mix, drink, cup, rule",12,draw; was drawn from; draw full draughts of; heap it up,χαλκός(3); οἶνος(1); ἕκαστος(1),οἶνος(4); ὕδωρ(3); ἔντερον(3)
θύω,19,11,"pray, incur, need, born",22,"offer by burning; made an offering; sacrifice, slay; the flesh of the victim",δάπεδον(3); κῦμα(1); Πάτροκλος(1); ἑταῖρος(1),θεός(2); ἄργμα(1); Ἀθήνη(1)
κατανεύω,19,26,"fulfil, spin, perform, accomplish",20,"nod assent; grant, promise; consent to; make a signbynoddingthehead",Κρονίων(1),νίκη(1)
ἔλδομαι,19,3,"moan, melt, hope, bade",25,"wish, long; long for; eager to reach; desire",θυμός(2); πόλεμος(1),χρέος(1); ἐδωδή(1)
χαλεπαίνω,18,11,"pray, incur, need, born",21,"to be severe, sore, grievous; to be violent, angry; display; portray anger",δῆμος(1); δέσποινα(1); πολύφρων(1),ἀνήρ(1)
ἐναίρω,18,37,"strike, strip, wound, smite",18,"slay; to kill; to make away with, destroy; destroy, disfigure",Ὀδυσσεύς(1); Τεῦκρος(1); Ἰδομενεύς(1); Μηριόνης(1),ἀνήρ(2); στίξ(2); Τρώς(2); υἱός(2); χρώς(1)
διακρίνω,18,13,"urge, know, remain, command",12,separate one from another; part; to be parted; part and join different,Τρώς(2); μνηστήρ(1),σῆμα(1); μένος(1); αἰπόλιον(1)
κατέπεφνον,18,-1,(unassigned),23,"kill, slay",Ἀπόλλων(3); Ἄρτεμις(2); ἰοχέαιρα(1); ἑταῖρος(1),πᾶς(2); βοῦς(1); μνηστήρ(1)
ἀνορούω,18,5,"leap, sal, assemble, went",7,"start up, leap up; went swiftly up",συβώτης(1); ἥλιος(1); Ἀχαιός(1); κόρη(1),
καταχέω,18,-1,(unassigned),12,"pour down upon, pour over; letting; be poured over; pour, shower down",Ἀθήνη(4); ὅπλον(1); Ζέφυρος(1); ἄνεμος(1),χάρις(4); ἐλεγχείη(2); κεφαλή(2); ὦμος(2)
γέγωνα,18,14,"arm, stay, strip, angry",18,shout so as to make oneself heard; can make himself heard; make oneʼs voice carry; cry out to,Τηλέμαχος(1); Αἴας(1),Δαναοί(4); Τρώς(2); θεός(1); Πουλυδάμας(1); Ἀντίλοχος(1)
ὑποδέχομαι,18,-1,(unassigned),22,"receive into oneʼs house, welcome; received; who had received him; harbour",Θέτις(2); Εὐρυνόμη(2); πῆμα(1),βία(2); ξένος(1)
λήγω,18,24,"shut close, beckon, opened, sing",23,"stay, abate; would stay; from; leave off, cease",ἀοιδός(1); θεός(1); Σκάμανδρος(1),ἔρις(4); φόνος(2); μένος(2); ἀπάτη(1); μῦθος(1)
ἐσθίω,18,20,"sprinkle, roast, broil, let flow",12,eat; ration-strength; eat of; devour,Κύκλωψ(1); οἶκος(1); πῦρ(1),βρώμη(3); κρέας(2); βοῦς(1); βίοτος(1); κτῆμα(1)
πράσσω,18,-1,(unassigned),17,"pass through, pass over; experience certain for; tunes, fare; achieve, effect, accomplish",ἵππος(1); ἀνήρ(1),ὁδός(4); κέλευθος(3); ἔργον(1); ἕκαστος(1)
ἐρεείνω,18,34,"king, inquire, ask, beget bring",22,"ask, inquire; ask of; question; ask about",γεραιός(2); Καλυψώ(1),γενεά(2); ἅπας(1)
ἁλίσκομαι,18,-1,(unassigned),12,"to be taken, conquered, fall into an enemyʼs hand; to fall into the hands of; to be caught, seized; to be seized",πόλις(1); ἄστυ(1),ἁψίς(1)
ἐξέρχομαι,18,10,"admit, riot, send away, dismiss",3,"come out of; come out; come forth; march out, go forth",,μέγαρον(2); δόμος(1); τεῖχος(1); πύλη(1); πόλις(1)
εὐχετάομαι,18,26,"fulfil, spin, perform, accomplish",20,"pray; boast, profess; brag; to glory",ναύτης(1); πᾶς(1); Τρώς(1),θεός(1); Ζεύς(1); Νέστωρ(1)
ἀρήγω,18,22,"succour, face, hide cover, assembly",19,"aid, succour; succour in war; help, succour; to be good for",Ζεύς(2),Τρώς(10); Δαναοί(2); Ἀργεῖος(2); ἀστός(1)
ἄω,18,-1,(unassigned),9,blow; sleep,ἕτερος(2),χρώς(4); νύξ(3); αἷμα(3); Ἄρης(3); κύων(2)
κόπτω,18,37,"strike, strip, wound, smite",18,"cut, strike; smite; smote; smite, slaughter",Ὀδυσσεύς(1); Ὀϊλιάδης(1),δεσμός(2); κεφαλή(2); πεῖσμα(1); χείρ(1)
βάζω,18,25,"swear, accuse, oath, say",22,"speak, say; address; has been spoken",ἔπος(1),ἀνεμώλιος(2); ἀπατήλιος(2); ὄνειδος(1); νήπιος(1)
κατέχω,18,35,"attain, come, reach, sink",12,"hold fast; hold back, withhold; check, restrain, bridle; put",γαῖα(5); αἶα(2); νύξ(1),κεφαλή(2); ἀήρ(2)
ἐνίημι,18,32,"stretch, spread scatter, send, honour",20,"send in; into; will send into the battle; implant, inspire",πατήρ(1); ὁδός(1); Ζεύς(1),μένος(4); πόντος(3); ὁμοφροσύνη(1); πόνος(1)
κλάζω,17,42,"pass, cut twain, rend, right",9,"make a sharp piercing sound; scream; bark, bay; clash, rattle",ὀιστός(1),
κεύθω,17,-1,(unassigned),23,"custos; hýdan; cover, hide; covered",νόος(1); γαῖα(1); δόμος(1); αὐλή(1),νόημα(2); θυμός(1); βρῶσις(1); ποτής(1)
ἀτιμάζω,17,-1,(unassigned),22,"hold in no honour, esteem lightly; bring dishonour upon; speakest in dishonour of; suffer dishonour, insult",θεός(1); θυγάτηρ(1); Ἀφροδίτη(1); Ἀτρείδης(1),ἄκοιτις(3); ἄλοχος(1)
ἐκφεύγω,17,-1,(unassigned),9,"flee out; away, escape; to be acquitted; escape out of",βέλος(6); παῦρος(1),χείρ(5); κήρ(4); γάμος(1); ἅλς1(1); πεῖραρ(1)
τιτύσκομαι,17,31,"heavy, aim, disembark, cheat",9,"make, make ready, prepare; he put; try to hit; aim, shoot",Ἥφαιστος(1),ἵππος(2); κεφαλή(1); δόρυ(1); ἀλλήλων(1)
φάσκω,17,-1,(unassigned),4,"say, affirm, assert; saying; would; think, deem, expect",Ἀργειφόντης(1); Νέστωρ(1); γέρων(1),γάμος(1)
ἐμπίπτω,17,35,"attain, come, reach, sink",12,fall in; fell upon; meet; meeting,χόλος(4); πῦρ(2); ἔπος(1); κακός(1); ἀνήρ(1),θυμός(6); πόντος(3); οἶκος(2); αὐχήν(1); ναῦς(1)
ἐκφέρω,17,-1,(unassigned),18,carry out of; carry out; cause death; carry away,ἵππος(5); ὥρα(1); Ὀιλιάδης(1),πόλεμος(3); Ἕκτωρ(2); ἆθλον(2); ξένος(1)
ἐντανύω,17,37,"strike, strip, wound, smite",18,stretch tight; stretch; tight; bend,τόξον(1); ξένος(1),νευρή(4); τόξον(4); βιός(2)
ὀπτάω,17,20,"sprinkle, roast, broil, let flow",3,"roast, broil; roast; broil; fry",,κρέας(3); πᾶς(1)
ἀπονέομαι,17,5,"leap, sal, assemble, went",5,"go away, depart",Ἀχαιός(1); μήτηρ(1); πληθύς(1),
