lemma,gloss,best_category,best_pos,best_neg,assigned,entry_len,pos_kinship_family,pos_marriage,pos_friendship_affection,pos_hostility_enmity,pos_hospitality_xenia,pos_erotic_pederasty,pos_rank_kingship_rule,pos_military_rank,pos_servitude_slavery,pos_messenger_herald_envoy,pos_civic_community
κελυφ-ᾰνώδης,like a shell; husk,messenger_herald_envoy,0.222,0.33,False,73,0.104,0.161,0.161,0.159,0.137,0.162,0.129,0.175,0.085,0.222,0.16
κελυφοκομῖον,"lepers’ hospital, BMus.Cat.Coptic MSS.",kinship_family,0.207,0.204,False,105,0.207,0.132,0.074,0.055,0.126,0.07,0.086,0.165,0.169,0.105,0.139
κέλῡφος,"sheath, case; pod, shell; sheath; shells; encasing membrane; envelope; shell; hollow; husks; boat; coffin",messenger_herald_envoy,0.387,0.324,False,798,0.242,0.244,0.225,0.195,0.175,0.203,0.148,0.25,0.241,0.387,0.178
κέλωρ,son; eunuch,erotic_pederasty,0.375,0.259,False,195,0.232,0.312,0.168,0.197,0.238,0.375,0.273,0.294,0.37,0.177,0.24
κελώριον,shout,military_rank,0.229,0.274,False,84,0.084,0.068,0.15,0.14,0.062,0.102,0.144,0.229,0.099,0.141,0.106
κεμάδειον,venison,hostility_enmity,0.207,0.217,False,74,0.14,0.119,0.145,0.207,0.12,0.139,0.11,0.135,0.109,0.085,0.068
κεμᾰδοσσόος,chasing deer,military_rank,0.188,0.256,False,68,0.105,0.131,0.175,0.143,0.099,0.179,0.073,0.188,0.115,0.178,0.093
κεμάς,"young deer, pricket; Mélanges de litt.gr.; śáma; šmúlas; hind.",hostility_enmity,0.265,0.263,False,351,0.177,0.133,0.195,0.265,0.176,0.163,0.15,0.223,0.189,0.197,0.169
κεμέλει,measure of length,military_rank,0.155,0.347,False,63,0.066,0.048,0.131,0.099,-0.012,0.112,0.116,0.155,0.11,0.105,0.055
κεναγγ-ής,emptying the vessels of the body; breeding famine,kinship_family,0.355,0.437,False,132,0.355,0.227,0.143,0.218,0.149,0.178,0.208,0.112,0.295,0.121,0.151
κεναγγ-ία,emptiness of vessels; hunger; fast,friendship_affection,0.248,0.426,False,136,0.209,0.192,0.248,0.198,0.188,0.2,0.133,0.184,0.24,0.147,0.207
κενανδρ-ία,lack of men,rank_kingship_rule,0.278,0.295,False,63,0.247,0.236,0.178,0.27,0.197,0.229,0.278,0.182,0.209,0.084,0.157
κένανδρ-ος,empty of men,military_rank,0.296,0.281,False,90,0.246,0.261,0.2,0.14,0.218,0.255,0.2,0.296,0.259,0.09,0.162
κενεαγγ-έω,"have the vessels of the body empty, undergo lowering; evacuant treatment",kinship_family,0.255,0.328,False,138,0.255,0.068,0.108,0.055,0.177,0.131,0.174,0.189,0.241,0.16,0.17
κενεαγγ-ητέον,one must fast,messenger_herald_envoy,0.139,0.145,False,56,0.123,0.129,0.076,0.027,0.088,0.094,0.102,0.137,0.107,0.139,0.059
κενεαγγ-ίη,lowering; evacuant treatment; evacuation by bleeding,military_rank,0.211,0.306,False,183,0.174,0.153,0.121,0.091,0.177,0.159,0.174,0.211,0.188,0.186,0.17
κενεαγγ-ικός,exhausted,erotic_pederasty,0.15,0.209,False,96,0.11,0.047,0.122,0.078,0.136,0.15,0.054,0.113,0.09,0.083,0.032
κενεᾱγορία,empty talk,hospitality_xenia,0.194,0.215,False,60,0.165,0.143,0.173,0.172,0.194,0.11,0.1,0.162,0.079,0.11,0.139
κενεαυχής,vain-glorious,erotic_pederasty,0.285,0.439,False,209,0.057,0.091,0.27,0.182,0.133,0.285,0.166,0.096,0.115,0.153,0.051
κενέβρειος,carrion; the dogʼs-meat market,erotic_pederasty,0.225,0.263,False,210,0.097,0.178,0.139,0.137,0.124,0.225,0.164,0.168,0.154,0.168,0.079
κενεγκράνιος,brainless,hostility_enmity,0.213,0.195,False,62,0.125,0.118,0.129,0.213,0.125,0.155,0.113,0.081,0.121,0.044,0.11
κενεμβᾰτ-έω,step on emptiness; step into a hole; reach a cavity; lack solid foundation; lead a frivolous life,hostility_enmity,0.371,0.381,False,443,0.238,0.161,0.267,0.371,0.193,0.195,0.224,0.083,0.139,0.092,0.134
κενεμβᾰτ-ησις,piercing of a cavity; emptiness,kinship_family,0.294,0.32,False,138,0.294,0.132,0.283,0.262,0.207,0.213,0.137,0.131,0.178,0.133,0.162
κενεότης,empty space,kinship_family,0.176,0.161,False,70,0.176,0.073,0.173,0.075,0.128,0.13,0.074,0.149,0.096,0.026,0.11
κενεο-φροσύνη,empty-mindedness,hostility_enmity,0.297,0.208,False,83,0.142,0.099,0.209,0.297,0.158,0.226,0.105,0.079,0.119,0.047,0.143
κενεό-φρων,empty-minded,hostility_enmity,0.246,0.191,False,149,0.158,0.098,0.151,0.246,0.127,0.243,0.073,0.089,0.127,0.034,0.119
κενεών,"hollow between ribs and hip, flank; hollows; hollow; vacant space",messenger_herald_envoy,0.248,0.352,False,503,0.194,0.156,0.216,0.195,0.199,0.203,0.139,0.198,0.141,0.248,0.173
κενήριον,"empty monument, cenotaph",messenger_herald_envoy,0.161,0.204,False,106,0.124,0.118,0.096,0.061,0.113,0.104,0.134,0.054,0.113,0.161,0.149
κενογάμιον,"empty, unreal marriage",marriage,0.484,0.288,True,107,0.342,0.484,0.296,0.181,0.242,0.354,0.136,0.109,0.169,0.052,0.148
κεν-οδοντίς,toothless,erotic_pederasty,0.144,0.163,False,62,0.142,0.115,0.107,0.139,0.135,0.144,0.057,0.047,0.141,0.069,0.114
κενοδοξ-έω,hold a vain opinion; to be vain-glorious,friendship_affection,0.34,0.515,False,206,0.06,0.15,0.34,0.262,0.181,0.302,0.224,0.139,0.16,0.18,0.07
κενοδοξ-ία,"liability to vain imagination; vanity, conceit; false prudery",marriage,0.287,0.318,False,264,0.162,0.287,0.258,0.27,0.256,0.281,0.195,0.143,0.251,0.205,0.143
κενόδοξ-ος,"vain-glorious, conceited",friendship_affection,0.326,0.415,False,163,0.1,0.106,0.326,0.254,0.176,0.305,0.181,0.073,0.108,0.188,0.099
κενοδρομ-έω,"to be without attendant planets, ‘void of course",hospitality_xenia,0.274,0.236,False,203,0.215,0.152,0.199,0.166,0.274,0.201,0.184,0.105,0.236,0.135,0.112
κενοκοπέω,labour in vain,servitude_slavery,0.51,0.361,False,52,0.161,0.255,0.169,0.242,0.171,0.22,0.2,0.203,0.51,0.158,0.098
κενολογ-έω,talk emptily,friendship_affection,0.228,0.201,False,132,0.09,0.106,0.228,0.178,0.121,0.166,0.117,0.118,0.1,0.095,0.051
κενολογ-ία,"empty, idle talk; chicanery",hostility_enmity,0.209,0.259,False,148,0.151,0.176,0.175,0.209,0.19,0.168,0.172,0.184,0.132,0.133,0.151
κενολόγ-ος,"talking emptily, prating",hostility_enmity,0.253,0.27,False,59,0.066,0.131,0.24,0.253,0.171,0.206,0.095,0.146,0.108,0.203,0.066
κενοπάθ-εια,unreal sensation,friendship_affection,0.285,0.223,False,67,0.021,0.057,0.285,0.104,0.125,0.276,0.038,-0.009,0.021,0.063,0.063
κενοπαθ-έω,have unreal sensations,friendship_affection,0.408,0.33,False,109,0.066,0.115,0.408,0.196,0.189,0.333,0.109,0.079,0.082,0.063,0.099
κενοπάθ-ημα,unreal sensation,friendship_affection,0.285,0.223,False,67,0.021,0.057,0.285,0.104,0.125,0.276,0.038,-0.009,0.021,0.063,0.063
κενο-πονέω,toil in vain,friendship_affection,0.193,0.197,False,55,0.023,0.113,0.193,0.167,0.115,0.186,0.097,0.098,0.127,0.11,-0.032
κενό-πρησις,flatulence,erotic_pederasty,0.275,0.318,False,57,0.144,0.178,0.153,0.165,0.16,0.275,0.157,0.021,0.074,-0.005,0.077
κενός,"empty; pause; the void of space; cavity; not occupied by a planet; empty, fruitless, void; idle; ineffectual; without a projectile; to no purpose; destitute, bereft; without the fruits; empty-handed; without burdens, unloaded; bereft of; orphan; exhausted; without garrison; without flesh; devoid of wit, vain, pretentious",kinship_family,0.567,0.378,True,4646,0.567,0.226,0.347,0.31,0.26,0.301,0.251,0.307,0.282,0.325,0.187
κενόσαρκος,"destitute of flesh, meagre",servitude_slavery,0.261,0.317,False,65,0.231,0.196,0.166,0.134,0.103,0.203,0.135,0.117,0.261,0.072,0.142
κενοσπουδ-έω,to be zealous about frivolities,hostility_enmity,0.388,0.337,False,86,0.152,0.164,0.268,0.388,0.3,0.183,0.224,0.076,0.178,0.119,0.233
κενοσπουδ-ία,zealous pursuit of frivolities,hostility_enmity,0.398,0.395,False,103,0.213,0.127,0.251,0.398,0.242,0.189,0.24,0.123,0.23,0.146,0.258
κενόσπουδ-ος,zealous about frivolities; matters of mere curiosity,hostility_enmity,0.38,0.346,False,252,0.188,0.185,0.241,0.38,0.257,0.236,0.225,0.147,0.215,0.111,0.221
κενοτᾰφ-έω,honour with an empty tomb,servitude_slavery,0.276,0.49,False,160,0.224,0.266,0.224,0.117,0.212,0.221,0.225,0.215,0.276,0.185,0.09
κενοτᾰφ-ιον,"empty tomb, cenotaph; image; tèraphim",friendship_affection,0.198,0.213,False,234,0.173,0.169,0.198,0.165,0.142,0.196,0.129,0.192,0.177,0.151,0.123
κενότης,emptiness; vanity,kinship_family,0.294,0.32,False,217,0.294,0.285,0.283,0.264,0.275,0.239,0.181,0.131,0.194,0.16,0.162
κενοφων-έω,speak idly,civic_community,0.155,0.193,False,40,0.092,0.11,0.098,0.143,0.106,0.08,0.138,0.083,0.007,0.117,0.155
κενοφων-ία,vain talking,friendship_affection,0.391,0.259,False,149,0.104,0.125,0.391,0.287,0.237,0.279,0.07,0.078,0.077,0.18,0.062
κενόω,"empty; empty of; to be emptied, made; left empty; the space continually left empty; will be left without; stripped; make; empty by leaving; desert; empty by depletion; carry off; evacuations; empty out, pour away; make away with; expend; waste away, shrivel; make empty; make void; of no effect; to be; become",messenger_herald_envoy,0.335,0.356,False,1859,0.234,0.219,0.317,0.241,0.252,0.231,0.171,0.278,0.247,0.335,0.232
κενταύρειον,"centaury, Centaurea salonitana; feverfew, Erythraea Centaurium",hospitality_xenia,0.199,0.232,False,227,0.139,0.159,0.119,0.132,0.199,0.163,0.074,0.058,0.022,0.1,0.126
Κενταύρ-ειος,of Centaurs,marriage,0.176,0.248,False,87,0.154,0.176,0.141,0.149,0.146,0.151,0.12,0.112,0.08,0.162,0.156
Κενταυρ-ίδης,sprung from Centaurs; Thessalian,kinship_family,0.281,0.266,False,100,0.281,0.144,0.105,0.268,0.109,0.209,0.215,0.13,0.247,0.198,0.201
Κενταυρ-ικός,"like a Centaur; savage, brutal.",servitude_slavery,0.186,0.316,False,97,0.15,0.11,0.17,0.169,0.131,0.133,0.094,0.12,0.186,0.121,0.116
κενταυρίς,ear-ring; female Centaur,erotic_pederasty,0.195,0.283,False,182,0.063,0.194,0.164,0.139,0.167,0.195,0.075,0.074,0.072,0.101,0.115
κενταυρο-κτόνος,Centaur-slaying,hospitality_xenia,0.14,0.16,False,58,0.064,0.087,0.136,0.139,0.14,0.132,-0.01,0.045,0.015,0.085,0.036
κενταυρο-μᾰχία,battle; of Centaurs,military_rank,0.501,0.42,False,103,0.154,0.176,0.141,0.326,0.146,0.187,0.236,0.501,0.175,0.165,0.156
κενταυρο-πληθής,full of Centaurs,marriage,0.17,0.223,False,71,0.12,0.17,0.102,0.098,0.118,0.127,0.094,0.09,0.061,0.138,0.153
Κένταυρος,Centaur; brigands; half-man and half-horse; Centaurus; the pudenda,hostility_enmity,0.318,0.286,False,650,0.205,0.244,0.157,0.318,0.152,0.251,0.223,0.297,0.228,0.162,0.188
Κενταυροφόνος,slaying Centaurs,hostility_enmity,0.146,0.217,False,90,0.086,0.101,0.134,0.146,0.128,0.114,0.033,0.036,0.045,0.102,0.071
κεντ-έω,"prick, goad, spur on; sting; prick, stab; stab",hostility_enmity,0.268,0.242,False,1179,0.122,0.152,0.187,0.268,0.124,0.174,0.162,0.21,0.189,0.212,0.129
κέντ-ημα,"point; prick, dot; puncture; wound inflicted, sting; punishment",hostility_enmity,0.355,0.525,False,329,0.226,0.231,0.207,0.355,0.157,0.23,0.29,0.245,0.316,0.242,0.173
κεντην-άριος,"centenarius, official drawing salary of 100, 000 sesterces; office of such a value; weight of 100 lbs.",marriage,0.195,0.329,False,270,0.116,0.195,0.12,0.102,0.167,0.131,0.17,0.154,0.081,0.174,0.163
κέντ-ησις,"pricking; mosaic, IG Rom.",friendship_affection,0.213,0.236,False,107,0.128,0.096,0.213,0.189,0.097,0.186,0.055,0.14,0.133,0.176,0.132
κεντ-ητήριον,"pricker, awl",messenger_herald_envoy,0.184,0.122,False,111,0.065,0.044,0.122,0.176,0.061,0.132,0.081,0.151,0.152,0.184,0.16
κεντ-ητής,mosaic-worker; one who pierces,servitude_slavery,0.308,0.29,False,109,0.21,0.246,0.21,0.193,0.207,0.279,0.184,0.182,0.308,0.186,0.221
κεντ-ητικός,prickly,hostility_enmity,0.215,0.266,False,67,0.1,0.055,0.183,0.215,0.074,0.132,0.081,0.096,0.075,0.158,0.139
κεντ-ητός,embroidered; decorated with mosaic,messenger_herald_envoy,0.34,0.19,False,125,0.141,0.179,0.236,0.109,0.121,0.152,0.032,0.159,0.166,0.34,0.103
κεντορίων,centurio,hospitality_xenia,0.132,0.163,False,132,0.032,0.093,0.089,0.118,0.132,0.078,0.115,0.059,0.09,0.106,0.114
κεντρ-ήεις,"sharp, prickly",hostility_enmity,0.234,0.39,False,70,0.1,0.102,0.224,0.234,0.091,0.149,0.129,0.141,0.111,0.153,0.128
κεντρ-ηνεκής,spurred; goaded on,messenger_herald_envoy,0.216,0.25,False,78,0.109,0.204,0.169,0.115,0.095,0.196,0.174,0.17,0.169,0.216,0.149
κεντρ-ιάδαι,priests; who drove; with goads,marriage,0.333,0.238,False,132,0.204,0.333,0.134,0.146,0.19,0.319,0.327,0.258,0.273,0.212,0.179
κεντρ-ίζω,stimulate,erotic_pederasty,0.315,0.297,False,222,0.094,0.15,0.248,0.062,0.138,0.315,0.118,0.147,0.162,0.079,0.104
κεντρ-ικός,of; belonging to a cardinal point; in de An.,civic_community,0.248,0.22,False,197,0.148,0.11,0.208,0.132,0.155,0.166,0.142,0.187,0.116,0.158,0.248
κεντρ-ίνης,spiny shark; fig-insect,messenger_herald_envoy,0.197,0.382,False,229,0.108,0.11,0.071,0.155,0.085,0.104,0.089,0.114,0.065,0.197,0.043
κεντρ-ίσκος,fish,marriage,0.194,0.515,False,85,0.117,0.194,0.158,0.152,0.183,0.132,0.122,0.136,0.094,0.091,0.121
κεντρ-ισμός,stimulatio,erotic_pederasty,0.121,0.188,False,47,0.059,0.039,0.098,0.119,0.07,0.121,0.02,0.07,0.11,0.046,0.031
κεντρ-ιστέον,one must stimulate,erotic_pederasty,0.307,0.3,False,60,0.113,0.162,0.248,0.058,0.168,0.307,0.106,0.155,0.16,0.117,0.055
κεντρ-ίτης,prickly; place; tapped,hospitality_xenia,0.252,0.39,False,256,0.149,0.179,0.183,0.215,0.252,0.174,0.103,0.148,0.149,0.158,0.177
κεντρο-βᾰρικά,"on the centre of gravity: problems relating to this subject; theory of the subject, An.Ox.",kinship_family,0.252,0.319,False,196,0.252,0.147,0.22,0.232,0.17,0.19,0.208,0.158,0.216,0.166,0.123
κεντρο-δήλητος,torturing with goads,servitude_slavery,0.391,0.213,False,133,0.166,0.273,0.161,0.234,0.124,0.364,0.226,0.337,0.391,0.241,0.006
κεντρο-ειδής,"like a centre, centriform",civic_community,0.149,0.185,False,69,0.031,0.115,0.082,0.1,0.06,0.06,0.142,0.11,0.073,0.132,0.149
κεντρο-θεσία,arrangement of heavenly bodies on cardinal points,messenger_herald_envoy,0.211,0.15,False,102,0.049,0.127,0.069,-0.016,0.137,0.148,0.088,0.051,0.064,0.211,-0.021
κεντρο-μᾰνής,maddened by the spur; maddening by its barbs,hostility_enmity,0.131,0.177,False,164,0.062,0.054,0.069,0.131,0.062,0.105,0.018,0.034,0.039,0.101,-0.008
κεντρο-μυρσίνη,"butchersʼbroom, Ruscus aculeatus",servitude_slavery,0.258,0.211,False,109,0.219,0.091,0.04,0.126,-0.007,0.182,0.167,0.209,0.258,0.16,0.044
κέντρον,"any sharp point; horse-goad; ox-goad; goad, spur, incentive; desire for; tortures, pangs; point; peg; sting; Scorpio; spur; quill; stationary point of a pair of compasses; centre; radius; circumscribe; pin, rivet; spur, tip; oars; cardinal point; hard knot; flaw",erotic_pederasty,0.453,0.56,False,2706,0.215,0.224,0.382,0.291,0.244,0.453,0.277,0.261,0.335,0.219,0.2
κεντρο-ποιός,making goads,erotic_pederasty,0.351,0.223,False,62,0.132,0.228,0.129,0.12,0.151,0.351,0.156,0.223,0.204,0.229,0.037
κεντρο-τύπος,striking with a goad,marriage,0.272,0.238,False,148,0.089,0.272,0.067,0.188,0.108,0.224,0.118,0.272,0.231,0.266,0.042
κεντρο-φόρος,with a sting; containing the centre of the universe,friendship_affection,0.19,0.2,False,198,0.064,0.119,0.19,0.103,0.116,0.179,0.078,0.137,0.138,0.149,0.084
κεντρ-όω,furnish with a sting; to be so furnished; strike with a goad; spur on; occupy a cardinal point,hospitality_xenia,0.404,0.291,False,306,0.191,0.285,0.324,0.246,0.404,0.262,0.154,0.231,0.248,0.262,0.144
κεντρ-ώδης,"pointed, prickly",hostility_enmity,0.262,0.219,False,130,0.049,0.11,0.2,0.262,0.136,0.2,0.083,0.122,0.082,0.174,0.121
κέντρ-ων,"one that bears the marks of the; a rogue that has been put to the torture; piece of patch-work, rag; pen-wiper; copy of verses made up of scraps from other authors",servitude_slavery,0.357,0.284,False,376,0.1,0.133,0.145,0.274,0.298,0.17,0.17,0.234,0.357,0.309,0.108
κεντρ-ωνάριον,case for,hostility_enmity,0.131,0.232,False,86,0.122,0.104,0.119,0.131,0.131,0.116,0.085,0.055,-0.004,0.069,0.103
κεντρ-ωνορράφος,centonarius,hospitality_xenia,0.227,0.188,False,58,0.141,0.201,0.176,0.192,0.227,0.203,0.135,0.078,0.038,0.167,0.195
κέντρ-ωσις,"goading, piercing; situation at cardinal point",friendship_affection,0.285,0.279,False,140,0.113,0.195,0.285,0.191,0.124,0.284,0.119,0.163,0.233,0.273,0.064
κεντρ-ωτός,spiky; spiked,marriage,0.214,0.205,False,203,0.125,0.214,0.145,0.141,0.136,0.147,0.122,0.13,0.149,0.111,0.13
κέντωρ,"goader, driver",messenger_herald_envoy,0.241,0.136,False,130,0.096,0.213,0.098,0.085,0.12,0.209,0.122,0.203,0.207,0.241,0.142
κέν-ωμα,"empty space, vacuum; vacancy, non-existence; empty vessel; empty shells; evacuation; evacuant",civic_community,0.306,0.413,False,541,0.224,0.162,0.136,0.178,0.262,0.189,0.119,0.259,0.226,0.213,0.306
κεν-ώσιμος,purgative,erotic_pederasty,0.28,0.221,False,91,0.177,0.163,0.193,0.26,0.179,0.28,0.167,0.109,0.221,0.115,0.075
κέν-ωσις,"emptying, depletion; evacuation; depletion, low diet; waning",military_rank,0.234,0.229,False,583,0.185,0.162,0.189,0.169,0.22,0.167,0.091,0.234,0.172,0.213,0.183
κεν-ωτέον,one must purge,military_rank,0.266,0.157,False,89,0.117,0.096,0.09,0.186,0.114,0.143,0.191,0.266,0.264,0.194,0.135
κεν-ωτικός,tending to empty; depletive; purgative,erotic_pederasty,0.28,0.328,False,145,0.211,0.163,0.253,0.26,0.206,0.28,0.167,0.175,0.221,0.134,0.11
κεπφαττελεβώδης,as brainless as a; or an,hostility_enmity,0.236,0.241,False,115,0.133,0.087,0.154,0.236,0.15,0.189,0.106,0.223,0.131,0.143,0.188
κέπφος,"stormy petrel, Thalassidroma pelagica; feather-brained fellow",friendship_affection,0.184,0.317,False,215,0.119,0.116,0.184,0.181,0.069,0.167,0.096,0.12,0.116,0.161,0.101
κεπφόω,ensnare like a; to be easily cajoled; become feather-brained,friendship_affection,0.335,0.287,False,150,0.165,0.257,0.335,0.229,0.249,0.266,0.233,0.194,0.291,0.219,0.158
κερᾰελκής,drawing by the horns,messenger_herald_envoy,0.262,0.335,False,181,0.157,0.153,0.089,0.151,0.109,0.127,0.17,0.163,0.141,0.262,0.113
κεραία,horn; antennae; anything projecting like a horn; yard-arm; projecting beam; projecting parts; branching stake of wood; pale; horns of the ancilia; horns; apex; word; leg; projecting spur; arms; wing; projections; Fallopian tubes; bow made of horn,military_rank,0.304,0.411,False,1709,0.271,0.217,0.287,0.275,0.213,0.242,0.181,0.304,0.195,0.258,0.206
κερᾰΐζω,"ravage, plunder; sink, disable; slaughter; carry off as plunder; exalt, uplift",military_rank,0.349,0.348,False,885,0.22,0.257,0.227,0.247,0.127,0.218,0.257,0.349,0.23,0.301,0.141
κεραιοῦχος,upholding the right,military_rank,0.307,0.34,False,78,0.142,0.204,0.142,0.259,0.032,0.182,0.266,0.307,0.259,0.158,0.252
κεραιοφόρος,furnished with projecting spears,messenger_herald_envoy,0.352,0.303,False,80,0.194,0.188,0.29,0.209,0.209,0.273,0.223,0.243,0.229,0.352,0.075
κερᾰΐς,worm that eats horn,erotic_pederasty,0.197,0.371,False,155,0.067,0.052,0.031,0.119,0.179,0.197,0.051,0.023,0.082,0.141,0.076
κερᾰ-ϊσμός,devastation,hostility_enmity,0.28,0.428,False,49,0.208,0.13,0.158,0.28,0.123,0.11,0.166,0.197,0.164,0.091,0.15
κερᾰ-ϊστής,plunderer; baneful comet,servitude_slavery,0.255,0.26,False,85,0.155,0.111,0.22,0.191,0.16,0.208,0.199,0.15,0.255,0.136,0.183
κεραΐτης,cornicularius,marriage,0.19,0.292,False,72,0.169,0.19,0.135,0.175,0.117,0.102,0.108,0.178,0.164,0.036,0.132
κεραίω,mix,marriage,0.212,0.246,False,254,0.133,0.212,0.178,0.158,0.135,0.155,0.031,0.172,0.057,0.073,0.184
κεράμβηλον,scarecrow; beetle,hostility_enmity,0.221,0.357,False,136,0.145,0.187,0.122,0.221,0.174,0.114,0.124,0.118,0.06,0.147,0.142
κεράμβυξ,"longicorn beetle, cerambyx",messenger_herald_envoy,0.157,0.229,False,105,0.12,0.088,0.045,0.128,0.022,0.077,0.092,0.041,0.064,0.157,0.007
κερᾰμ-εία,the potterʼs craft; make,messenger_herald_envoy,0.24,0.266,False,302,0.133,0.192,0.183,0.159,0.169,0.177,0.16,0.129,0.206,0.24,0.16
κερᾰμ-εικός,the Potters’ Quarter,servitude_slavery,0.174,0.235,False,234,0.159,0.171,0.046,0.168,0.137,0.174,0.159,0.135,0.174,0.096,0.164
κερᾰμ-εῖον,potterʼs workshop,civic_community,0.221,0.211,False,162,0.103,0.2,0.089,0.128,0.196,0.12,0.116,0.098,0.161,0.201,0.221
κερᾰμ-εοῦς,"of clay; earth, earthen; tile-work",civic_community,0.243,0.27,False,631,0.171,0.211,0.216,0.24,0.155,0.155,0.194,0.171,0.212,0.16,0.243
κερᾰμ-εύς,potter,hostility_enmity,0.196,0.218,False,459,0.134,0.188,0.111,0.196,0.165,0.132,0.184,0.082,0.122,0.139,0.095
κερᾰμ-ευτικός,"of; for a potter; the potterʼs art, pottery; earthenware",servitude_slavery,0.267,0.328,False,262,0.171,0.243,0.208,0.21,0.226,0.241,0.237,0.187,0.267,0.182,0.151
κερᾰμ-εύω,to be a potter; make earthenware; tinkers; make a pot of; discuss its manufacture; they had; made,rank_kingship_rule,0.251,0.325,False,589,0.139,0.228,0.213,0.205,0.227,0.193,0.251,0.154,0.171,0.169,0.184
κερᾰμ-εών,large wine-jar,hospitality_xenia,0.14,0.207,False,62,0.042,0.086,0.107,0.021,0.14,0.129,0.004,-0.006,0.033,0.027,-0.018
κερᾰμ-ῐδοπλάστης,tile-maker,messenger_herald_envoy,0.125,0.17,False,54,0.078,0.05,0.045,0.031,0.122,0.029,0.008,0.05,0.123,0.125,0.084
κερᾰμ-ῐδόω,make a roof as of shields; testudo; to be roofed; coped with tiles,messenger_herald_envoy,0.275,0.17,False,286,0.125,0.148,0.153,0.14,0.157,0.14,0.093,0.176,0.195,0.275,0.232
κερᾰμ-ῐκός,"of; for pottery; potterʼs; the potterʼs art, pottery",servitude_slavery,0.267,0.328,False,389,0.183,0.263,0.208,0.213,0.248,0.241,0.232,0.187,0.267,0.247,0.172
κερᾰμ-ιον,"earthenware vessel, jar; sarcophagus",servitude_slavery,0.197,0.391,False,393,0.164,0.148,0.106,0.17,0.112,0.127,0.153,0.141,0.197,0.18,0.044
κερᾰμ-ίς,roof-tile; tiles; tiling; potterʼs,messenger_herald_envoy,0.235,0.198,False,654,0.183,0.176,0.098,0.213,0.138,0.141,0.202,0.119,0.132,0.235,0.149
κερᾰμ-ῖτις,of; for pottery; potterʼs,marriage,0.263,0.303,False,258,0.183,0.263,0.208,0.213,0.248,0.231,0.202,0.187,0.244,0.247,0.172
κερᾰμο-πλάστης,potter,hostility_enmity,0.196,0.218,False,89,0.134,0.188,0.111,0.196,0.165,0.132,0.184,0.082,0.122,0.139,0.095
κερᾰμο-πλαστικὸν,pottery,servitude_slavery,0.285,0.377,False,71,0.151,0.281,0.199,0.186,0.242,0.253,0.226,0.091,0.285,0.169,0.225
κερᾰμο-ποιός,potter,hostility_enmity,0.196,0.218,False,42,0.134,0.188,0.111,0.196,0.165,0.132,0.184,0.082,0.122,0.139,0.095
κερᾰμοπωλ-εῖον,pottery-market,erotic_pederasty,0.257,0.329,False,64,0.096,0.247,0.183,0.107,0.22,0.257,0.217,0.055,0.238,0.172,0.177
κερᾰμοπωλ-έω,sell earthenware,hospitality_xenia,0.065,0.168,False,53,-0.011,-0.015,0.059,0.053,0.065,0.024,0.007,-0.041,0.039,-0.006,0.042
κερᾰμοπώλ-ης,seller of pottery,erotic_pederasty,0.284,0.252,False,68,0.158,0.245,0.204,0.129,0.242,0.284,0.225,0.105,0.247,0.223,0.183
κέρᾰμος,"potterʼs earth, potterʼs clay; anything made of this earth; earthen vessel, wine-jar; pottery; jars; jar; tile; tiling; roof; dungeon; cremo.",servitude_slavery,0.285,0.377,False,1105,0.173,0.281,0.199,0.186,0.242,0.253,0.226,0.202,0.285,0.235,0.225
κερᾰμοτήξ,potter,hostility_enmity,0.196,0.218,False,67,0.134,0.188,0.111,0.196,0.165,0.132,0.184,0.082,0.122,0.139,0.095
κερᾰμ-όω,roof with tiles; testudo,servitude_slavery,0.147,0.148,False,243,0.109,0.121,0.104,0.073,0.098,0.14,0.078,0.108,0.147,0.071,0.123
κερᾰμ-ύλλιον,jar,hostility_enmity,0.179,0.191,False,175,0.128,0.172,0.12,0.179,0.15,0.156,0.13,0.161,0.145,0.124,0.038
κερᾰμ-ών,store for pottery; tiles,hospitality_xenia,0.225,0.207,False,78,0.124,0.196,0.164,0.109,0.225,0.21,0.143,0.092,0.145,0.192,0.149
κερᾰμ-ωσις,roofing with tiles,messenger_herald_envoy,0.081,0.098,False,117,0.071,0.04,0.017,-0.003,0.064,0.004,0.02,-0.009,0.058,0.081,0.072
κερᾰμ-ωτός,covered with tiles; testudo,servitude_slavery,0.147,0.148,False,147,0.109,0.121,0.104,0.073,0.098,0.14,0.078,0.108,0.147,0.11,0.123
κεράνν-ῡμι,"mix, mingle; let us mix a cup of wine; give to drink; mix their; mixed; temper, cool by mixing; having mixed; to an; temperature; mix, blend; temper, regulate; temperate; is mingled with; compound; coalesce by crasis; multiply into",hostility_enmity,0.44,0.424,False,3153,0.21,0.269,0.309,0.44,0.314,0.211,0.273,0.284,0.189,0.228,0.236
κερανν-υτέον,one must mix,marriage,0.191,0.248,False,52,0.142,0.191,0.131,0.123,0.113,0.14,0.029,0.167,0.084,0.119,0.091
κερᾰοξόος,polishing horn; making it into bows,messenger_herald_envoy,0.241,0.226,False,127,0.076,0.095,0.132,0.054,0.082,0.111,0.059,0.106,0.072,0.241,0.024
